GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;
100;Управление Федеральной налоговой службы по Республике Адыгея;УФНС по Республике Адыгея;"

Дышеков Адам Авесович";"Даргушаов Аскарбий Касимович,
Мигаенко Марина Владимировна,
Широков Глеб Иванович";http://www.nalog.ru/rn01/about_fts/fts/functions_fts/funct_ufns/;385009, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331 ;7 (8772) 56-80-24 ;7 (8772) 53-36-12;http://www.nalog.ru/rn01/about_fts/ufns_info/;105043805;10501001;u01@r01.nalog.ru;
200;Управление Федеральной налоговой службы по Республике Башкортостан;УФНС России по Республике Башкортостан;"

Вахитов Марат Мусаевич";"

Асадуллин Мидхат Наильевич, 

Мусабирова Елена Суфияровна, 

Солнцев Андрей Михайлович, 

Федорова Наталия Васильевна, 

Арсланова Альвина Альбертовна";http://www.nalog.ru/rn02/about_fts/fts/functions_fts/funct_ufns/;450078, г.Уфа, проспект Салавата Юлаева, д.55;7 (347) 229-73-03;7 (347) 228-38-55;http://www.nalog.ru/rn02/about_fts/ufns_info/;278106440;27801001;u02@r02.nalog.ru;
300;Управление Федеральной налоговой службы по Республике Бурятия;УФНС России по Республике Бурятия;Куриленко Юрий Александрович;Бадмаева Раиса Жамсуевна, Сыбыков Доржа Мункожапович, Ли Марина Васильевна, Мангутов Бадма Цырендашиевич;http://www.nalog.ru/rn03/about_fts/fts/functions_fts/funct_ufns/;670034, г.Улан-Удэ, ул.Цивилева, 3;7 (301-2) 44-12-74;7 (3012) 55-21-76;http://www.nalog.ru/rn03/about_fts/ufns_info/;326022754;32601001;u03@r03.nalog.ru;
400;Управление Федеральной налоговой службы по Республике Алтай;УФНС России по Республике Алтай;"

Закутин Александр Васильевич";"Цомая Надежда Ивановна,
Петрушев Сергей Анатольевич,
Ильина Татьяна Анатольевна";http://www.nalog.ru/rn04/about_fts/fts/functions_fts/funct_ufns/;649000, г. Горно-Алтайск, Чорос-Гуркина ул., д. 40;7 (38822) 92-777;7 (38822) 92-712;http://www.nalog.ru/rn04/about_fts/ufns_info/;411119764;41101001;u04@r04.nalog.ru;
500;Управление Федеральной налоговой службы по Республике Дагестан;УФНС России по Республике Дагестан;Джабраилов Умахан Алхасович;Хизриев Нурулла Асипович, Девришбеков Фейрад Девришбекович, Ханбулатов Саид Магомедович;http://www.nalog.ru/rn05/about_fts/fts/functions_fts/funct_ufns/;367015, г. Махачкала, ул. М. Ярагского, 93;7 (8722) 55-46-44 ;7 (8722) 55-46-25;http://www.nalog.ru/rn05/about_fts/ufns_info/;562043926;57201001;u05@r05.nalog.ru;
600;Управление Федеральной налоговой службы по Республике Ингушетия;УФНС России по Республике Ингушетия;Вышегуров Тамерлан Русланович;Мамилов Увайс Мухарбекович, Куштов Магомед Русланович;http://www.nalog.ru/rn06/about_fts/fts/functions_fts/funct_ufns/;386001, г. Магас, ул. Горчханова, 5;7 (8734) 55-14-27;7 (8734) 55-15-06;http://www.nalog.ru/rn06/about_fts/ufns_info/;606013417;60601001; u06@r06.nalog.ru;
700;Управление Федеральной налоговой службы по Кабардино-Балкарской Республике;УФНС России по Кабардино-Балкарской Республике;Керефов Мурат Анатольевич;"

Сарбашева Светлана Магометовна, 

Ахохов Таймураз Борисович";http://www.nalog.ru/rn07/about_fts/fts/functions_fts/funct_ufns/;360000, г. Нальчик, пр Ленина, 31;7 (8662) 74-16-33;7 (8662) 42-09-36;http://www.nalog.ru/rn07/about_fts/ufns_info/;72100961;72501001;u07@r07.nalog.ru;
800;Управление Федеральной налоговой службы по Республике Калмыкия;УФНС России по Республике Калмыкия;Чужгинов Андрей Александрович;"

Кекешкеева Марина Олеговна";http://www.nalog.ru/rn08/about_fts/fts/functions_fts/funct_ufns/;358000, Республика Калмыкия, г. Элиста, улица Губаревича, 4;7 (84722) 4-16-00;7 (84722) 3-54-06;http://www.nalog.ru/rn08/about_fts/ufns_info/;814162988;81601001;u08@r08.nalog.ru;
900;Управление Федеральной налоговой службы по Карачаево-Черкесской Республике;УФНС России по Карачаево-Черкесской Республике;"

Казаноков Руслан Олиевич";"Дурнова Анна Михайловна,
Кочкарова Саида Маджитовна,
Кунижева Людмила Анатольевна,
Ниров Хазрет Дантесович";http://www.nalog.ru/rn09/about_fts/fts/functions_fts/funct_ufns/;369000, г. Черкесск, ул. Красноармейская, 70;7 (8782) 26-69-78;7 (8782) 26-41-79;http://www.nalog.ru/rn09/about_fts/ufns_info/;914000677;91401001;u09@r09.nalog.ru;
1000;Управление Федеральной налоговой службы по Республике Карелия;УФНС России по Республике Карелия;"

Масалкин Вячеслав Анатольевич";"

Галашева Светлана Владимировна, 

Вятчина Вера Валентиновна";http://www.nalog.ru/rn10/about_fts/fts/functions_fts/funct_ufns/;Республика Карелия, 185028, г. Петрозаводск, ул. Кондопожская, д.15\5;7(8142)79-20-00 ;7(8142)79-20-80;http://www.nalog.ru/rn10/about_fts/ufns_info/;1001048511;100101001;"u10@r10.nalog.ru
";
1100;Управление Федеральной налоговой службы по Республике Коми;УФНС России по Республике Коми;"

Максимова Лариса Владимировна";"

Меньшенин Александр Витальевич, 

Вознюк Ирина Ивановна";http://www.nalog.ru/rn11/about_fts/fts/functions_fts/funct_ufns/;167982, ГСП-2, Республика Коми, г. Сыктывкар, ул. Первомайская, д. 53;7 (8212) 24-62-54 ;7 (8212) 21-63-47;http://www.nalog.ru/rn11/about_fts/ufns_info/;1101486269;110101001;u11@r11.nalog.ru;
1200;Управление Федеральной налоговой службы по Республике Марий Эл;УФНС России по Республике Марий Эл;Ханафеев Фарид Файзрахманович;"

Гринькина Надежда Геннадьевна, 

Соловьева Ольга Николаевна, ";http://www.nalog.ru/rn12/about_fts/fts/functions_fts/funct_ufns/;424000, Республика Марий Эл, г. Йошкар-Ола, ул.Пушкина,30;7 (8362) 68-70-09;7 (8362) 68-76-44;http://www.nalog.ru/rn12/about_fts/ufns_info/;1215098862;121501001;u12@r12.nalog.ru;
1300;Управление Федеральной налоговой службы по Республике Мордовия;УФНС России по Республике Мордовия;Лушенкова Мария Григорьевна;Шаляев Сергей Николаевич, Кабанов Александр Федорович, Чушников Олег Алексеевич;http://www.nalog.ru/rn13/about_fts/fts/functions_fts/funct_ufns/;43000, г.Саранск. ул.Московская, 3/1;7 (8342) 28-18-00 ;7 (8342) 32-70-15;http://www.nalog.ru/rn13/about_fts/ufns_info/;325050006;132601001;u13@r13.nalog.ru;
1400;Управление Федеральной налоговой службы по Республике Саха (Якутия);УФНС России по Республике Саха (Якутия);Осипов Михаил Анатольевич;Иванов Михаил Николаевич, Мыреев Андрей Павлович, Федорова Алена Афанасьевна, Скрябина Наталья Михайловна, Томская Ульяна Елисеевна;http://www.nalog.ru/rn14/about_fts/fts/functions_fts/funct_ufns/;677018, Республика Саха (Якутия), г. Якутск, ул. Губина, 2;7 (411-2) 39-31-20;7 (411-2) 45-29-57;http://www.nalog.ru/rn14/about_fts/ufns_info/;1435153396;143501001;u14@r14.nalog.ru;
